feature,mean_abs_score_diff
combined_raw_risk_score,0.6945907616504278
interaction_frequency_score,0.5534769146392599
raw_spend_risk_score,0.5396350596556674
has_speaker_events,0.5195872542644844
data_completeness_score,0.5195872542644844
total_interactions,0.5151021225085893
unique_reps_interacted,0.5085745305115109
total_events_as_speaker,0.4890261008160998
cost_per_head_over_limit_sum,0.48630500710625246
interactions_with_vague_rationale,0.4852592414095382
event_risk_score_cv,0.44983505995031
pct_food_beverage,0.43824793469311063
total_meals,0.4254627100430787
pct_consulting,0.4010349392123534
risk_signal_count,0.37356862915606015
peak_year_spend,0.37206281100227057
fmv_compliance_rate,0.37034919623463747
multi_year_increasing_flag,0.35665550255612033
attendees_signed_pct_min,0.3406455286508204
avg_meal_cost,0.3395742214133327
